Date,Gross Return,Transaction Cost,Net Return,Gross Equity,Net Equity,Turnover
2011-03-31,0.0025031668538444,0.0,0.0025031668538444,100.25031668538445,100.25031668538445,0.0
2011-04-30,0.0240992634424926,0.0002857142857142856,0.023813549156778316,102.66627547737883,102.63763252975444,0.2857142857142856
2011-05-31,-0.0039207347841643,0.0002857142857142856,-0.004206449069878586,102.26374823995408,102.20589255586512,0.2857142857142856
2011-06-30,0.0125954671051134,0.0005714285714285711,0.012024038533684828,103.55180791695602,103.43482014632647,0.5714285714285712
2011-07-31,-0.0390046679778593,0.0005714285714285711,-0.03957609654928787,99.51280403064808,99.34127371765724,0.5714285714285712
2011-08-31,-0.1237400641407278,0.0005714285714285711,-0.12431149271215637,87.199083277072,86.99201169388836,0.5714285714285712
2011-09-30,-0.0400210630706278,0.0005714285714285711,-0.04059249164205637,83.70928326553938,83.46078918627853,0.5714285714285712
2011-10-31,0.1006422871179585,0.0002857142857142856,0.10035657283224421,92.1339769863883,91.83662795488787,0.2857142857142856
2011-11-30,-0.0009338954460736,0.0005714285714285711,-0.001505324017502171,92.04793348485208,91.69838407314097,0.5714285714285712
2011-12-31,0.0487796743189658,0.0002857142857142856,0.048493960033251515,96.538001701977,96.14520184549761,0.2857142857142856
2012-01-31,0.0412151437009411,0.0,0.0412151437009411,100.51682931472567,100.10784015571579,0.0
2012-02-29,0.0312130438695912,0.0005714285714285711,0.03064161529816263,103.65426551775843,103.17530608209718,0.5714285714285712
2012-03-31,0.0439799547538394,0.0005714285714285711,0.04340852618241083,108.21297542527188,107.65399405754015,0.5714285714285712
2012-04-30,-0.0193581076446193,0.0,-0.0193581076446193,106.11817699844492,105.57001645220107,0.0
2012-05-31,-0.0395280948937396,0.0002857142857142856,-0.03981380917945389,101.92352762809973,101.36687196210134,0.2857142857142856
2012-06-30,0.0662245528796966,0.0005714285714285711,0.06565312430826803,108.67336767319202,108.02192380776947,0.5714285714285712
2012-07-31,0.071684696989403,0.0002857142857142856,0.0713989827036887,116.46358510566277,115.73457927733959,0.2857142857142856
2012-08-31,0.0086816271422872,0.0005714285714285711,0.008110198570858628,117.47467852720416,116.6732096967936,0.5714285714285712
2012-09-30,-0.0115033632648608,0.0005714285714285711,-0.012074791836289372,116.123324625683,115.26440497683308,0.5714285714285712
2012-10-31,0.0327074817594668,0.0005714285714285711,0.03213605318803823,119.92142614772617,118.96854802585615,0.5714285714285712
2012-11-30,0.0226151899889863,0.0002857142857142856,0.022329475703272015,122.63347198380718,121.62505332845303,0.2857142857142856
2012-12-31,0.0110247410451528,0.0005714285714285711,0.010453312473724228,123.98547425589666,122.89643801552874,0.5714285714285712
2013-01-31,0.0544188725542343,0.0005714285714285711,0.05384744398280573,130.73262397800457,129.5140970772563,0.5714285714285712
2013-02-28,-0.0237247239490128,0.0002857142857142856,-0.024010438234727084,127.63102856299633,126.40440684885638,0.2857142857142856
2013-03-31,0.0215553835341689,0.0008571428571428568,0.020698240677026043,130.38216433453218,129.02075568445073,0.8571428571428568
2013-04-30,0.020096549747612,0.0005714285714285711,0.01952512117618343,133.00239598628244,131.53990157343236,0.5714285714285712
2013-05-31,0.0248332108479172,0.0002857142857142856,0.024547496562202915,136.30527252908794,134.7688768550987,0.2857142857142856
2013-06-30,-0.0729160342436533,0.0008571428571428568,-0.07377317710079616,126.36643260976648,124.82654863519214,0.8571428571428568
2013-07-31,0.0979610801740757,0.0005714285714285711,0.09738965160264713,138.74542484596375,136.98336271753436,0.5714285714285712
2013-08-31,-0.0157174926965899,0.0002857142857142856,-0.016003206982304185,136.56469464426203,134.79118961083364,0.2857142857142856
2013-09-30,0.0533340284186175,0.0002857142857142856,0.053048314132903215,143.84823994939893,141.94163497965687,0.2857142857142856
2013-10-31,0.0768963172946542,0.0005714285714285711,0.07632488872322563,154.90963985082547,152.7753144746719,0.5714285714285712
2013-11-30,-0.0076149983042123,0.0008571428571428568,-0.008472141161355157,153.7300032060553,151.48098044447204,0.8571428571428568
2013-12-31,0.0069269839549019,0.0002857142857142856,0.006641269669187614,154.7948884716507,152.48700648535672,0.2857142857142856
2014-01-31,-0.0080614787102163,0.0002857142857142856,-0.008347192995930584,153.54701277378615,151.21416801285173,0.2857142857142856
2014-02-28,0.0436203260758608,0.001428571428571428,0.04219175464728937,160.24478353895307,157.59415908884395,1.428571428571428
2014-03-31,0.0415574944492223,0.0011428571428571423,0.04041463730636516,166.90415524138993,163.96326987002118,1.1428571428571423
2014-04-30,-0.0097019843381466,0.0002857142857142856,-0.009987698623860885,165.28485374126637,162.32565414517666,0.2857142857142856
2014-05-31,0.0186441853050686,0.0002857142857142856,0.018358471019354314,168.3664551825397,165.30570496249862,0.2857142857142856
2014-06-30,-0.0014790813929176,0.0002857142857142856,-0.0017647956786318857,168.11742749148772,165.0139741687276,0.2857142857142856
2014-07-31,-0.0099137088745178,0.0,-0.0099137088745178,166.45076025860425,163.37807366859164,0.0
2014-08-31,0.0066526263377737,0.0,0.0066526263377737,167.5580949702431,164.46496694449405,0.0
2014-09-30,0.0468046404207813,0.0002857142857142856,0.046518926135067015,175.40059135491646,172.11570059359119,0.2857142857142856
2014-10-31,-0.028769986584523,0.0002857142857142856,-0.029055700870237285,170.3543186947181,167.11475828207247,0.2857142857142856
2014-11-30,0.0335985350306285,0.0002857142857142856,0.033312820744914214,176.07797423900143,172.68182226855282,0.2857142857142856
2014-12-31,-0.0260273204195744,0.0002857142857142856,-0.026313034705288684,171.49513638465336,168.1380394862279,0.2857142857142856
2015-01-31,0.0090770317592708,0.0002857142857142856,0.008791317473556515,173.05180318417734,169.61619437073273,0.2857142857142856
2015-02-28,0.0607641295368527,0.0005714285714285711,0.06019270096542413,183.56714536944662,179.82585123738352,0.5714285714285712
2015-03-31,0.0406034932744766,0.0002857142857142856,0.040317778988762314,191.0206127218698,187.07603016403837,0.2857142857142856
2015-04-30,-0.0132269275346546,0.0005714285714285711,-0.013798356106083171,188.49399691977231,184.49468848092263,0.5714285714285712
2015-05-31,0.0524926934421004,0.0005714285714285711,0.05192126487067183,198.38855451575813,194.07388606877268,0.5714285714285712
2015-06-30,-0.0430709534430101,0.0,-0.0430709534430101,189.84377032058384,185.71493875740052,0.0
2015-07-31,0.0686749968490387,0.0005714285714285711,0.06810356827761013,202.88129064915958,198.3627887692373,0.5714285714285712
2015-08-31,-0.0784613798387905,0.0,-0.0784613798387905,186.9629446413518,182.7989706537324,0.0
2015-09-30,-0.0375136195425987,0.0002857142857142856,-0.037799333828312985,179.9492878675122,175.88929133851997,0.2857142857142856
2015-10-31,0.0947719452577995,0.0,0.0947719452577995,197.0034319264721,192.55866162868736,0.0
2015-11-30,0.0045755536043465,0.0005714285714285711,0.0040041250329179295,197.9048316894919,193.32969058601995,0.5714285714285712
2015-12-31,-0.0478531828477323,0.0005714285714285711,-0.04842461141916087,188.43445559220498,183.96777544360532,0.5714285714285712
2016-01-31,-0.0688628944835436,0.0002857142857142856,-0.0691486087692579,175.45831355969497,171.24665971330478,0.2857142857142856
2016-02-29,-0.0517216968954405,0.0002857142857142856,-0.05200741118115478,166.38331184797528,162.34056426819564,0.2857142857142856
2016-03-31,-0.0076966666185435,0.0005714285714285711,-0.00826809518997207,165.10271496579225,160.9983170296324,0.5714285714285712
2016-04-30,-0.0068790617106681,0.0002857142857142856,-0.007164775996382385,163.96696320094372,159.84480015232052,0.2857142857142856
2016-05-31,0.0476976844786082,0.0005714285714285711,0.04712625590717963,171.7878076766179,167.37768710973077,0.5714285714285712
2016-06-30,-0.0447526736680541,0.0002857142857142856,-0.04503838795376838,164.09984397951578,159.83926590287828,0.2857142857142856
2016-07-31,0.0627577398107492,0.0002857142857142856,0.06247202552503491,174.39837929096677,169.82474860226571,0.2857142857142856
2016-08-31,0.0101534582120864,0.0005714285714285711,0.009582029640657828,176.1691259473532,171.4520143770899,0.5714285714285712
2016-09-30,-0.0051969201634027,0.0002857142857142856,-0.005482634449116986,175.25358906454835,170.51200565669555,0.2857142857142856
2016-10-31,0.0043420897059028,0.0002857142857142856,0.004056375420188514,176.01455586954805,171.20366636528843,0.2857142857142856
2016-11-30,-0.0185310067480455,0.0,-0.0185310067480455,172.7528289469752,168.03109006858315,0.0
2016-12-31,0.0756744020386083,0.0002857142857142856,0.075388687752894,185.82579597801552,180.69873345054197,0.2857142857142856
2017-01-31,0.0031551249216975,0.0002857142857142856,0.0028694106359832146,186.412099578,181.21723231821366,0.2857142857142856
2017-02-28,0.0037819835957221,0.0005714285714285711,0.003210555024293529,187.11710708064814,181.79904021392147,0.5714285714285712
2017-03-31,0.0874347713918914,0.0,0.0874347713918914,203.4776485617567,197.69459773429097,0.0
2017-04-30,0.0330252141077335,0.0,0.0330252141077335,210.19754147164687,204.22350415240814,0.0
2017-05-31,-0.0017999652910352,0.0002857142857142856,-0.0020856795767494854,209.81919319273698,203.79755936070526,0.2857142857142856
2017-06-30,-0.0164927631483425,0.0002857142857142856,-0.016778477434056784,206.35869493543288,200.37814660985583,0.2857142857142856
2017-07-31,0.0278457822143681,0.0008571428571428568,0.02698863935722524,212.10491421264615,205.78608014377843,0.8571428571428568
2017-08-31,-0.0152454583829567,0.0,-0.0152454583829567,208.87127757019667,202.64877702315468,0.0
2017-09-30,0.0550055550328558,0.0,0.0550055550328558,220.36035812336704,213.79558548004275,0.0
2017-10-31,0.0005534860725819,0.0002857142857142856,0.0002677717868676144,220.48232451253747,213.85283390599113,0.2857142857142856
2017-11-30,-0.0182214662979433,0.0005714285714285711,-0.01879289486937187,216.46481326714007,209.83392008087858,0.5714285714285712
2017-12-31,-0.0343848066407097,0.0002857142857142856,-0.03467052092642398,209.0217125184321,202.5588687636409,0.2857142857142856
2018-01-31,0.0895595653105549,0.0002857142857142856,0.0892738510248406,227.74160623205066,220.6420790374064,0.2857142857142856
2018-02-28,-0.0187368454208432,0.0,-0.0187368454208432,223.47444696018619,216.50794250914905,0.0
2018-03-31,-0.0164984727951038,0.0,-0.0164984727951038,219.7874598766127,212.93589210973795,0.0
2018-04-30,0.061995470937442,0.0002857142857142856,0.06170975665172772,233.41328695780743,226.07611419424845,0.2857142857142856
2018-05-31,-0.0631992646573915,0.0002857142857142856,-0.06348497894310579,218.6617388608093,211.72367684508743,0.2857142857142856
2018-06-30,0.0061182305729521,0.0002857142857142856,0.0058325162872378145,219.99956179664238,212.95855863868027,0.2857142857142856
2018-07-31,0.0451623382493758,0.0008571428571428568,0.044305195392232946,229.9352564212168,222.39372918961527,0.8571428571428568
2018-08-31,-0.0049863113385455,0.0002857142857142856,-0.005272025624259786,228.7887276449923,221.22126375065295,0.2857142857142856
2018-09-30,-0.0035192674457547,0.0,-0.0035192674457547,227.98355892383563,220.44272695882654,0.0
2018-10-31,-0.0793353768106366,0.0,-0.0793353768106366,209.89639736998313,202.95382015038376,0.0
2018-11-30,-0.0087864463307495,0.0002857142857142856,-0.009072160616463786,208.0521539394741,201.1125904962546,0.2857142857142856
