Date,AD.AS,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BBVA.MC,BNP.PA,ENEL.MI,ENI.MI,IBE.MC,INGA.AS,ISP.MI,ITX.MC,MC.PA,NESN.SW,NOVN.SW,PHIA.AS,ROG.SW,SAN.MC,SAN.PA,SAP.DE,SIE.DE,UBSG.SW,UCG.MI
2010-01-31,5.212206840515137,11.440961837768555,37.627628326416016,25.439428329467773,19.628868103027344,4.401395320892334,24.21718406677246,1.6260313987731934,5.976812839508057,2.8992955684661865,3.7632029056549072,1.0456985235214233,5.89928674697876,58.26201629638672,31.292556762695312,23.69955062866211,13.095480918884277,99.94638061523438,3.9906158447265625,28.27569007873535,25.631160736083984,32.732383728027344,8.887909889221191,43.76566696166992
2010-02-28,5.1554975509643555,12.210405349731445,39.67698287963867,24.929983139038086,19.63601303100586,3.78678560256958,24.672271728515625,1.6593643426895142,5.849720478057861,2.7745039463043213,3.599276304244995,0.9722832441329956,5.5987324714660645,58.652549743652344,33.12054443359375,24.90894317626953,12.838354110717773,100.45030975341797,3.744342565536499,28.33899688720703,25.38321304321289,32.04489517211914,9.382035255432129,40.234073638916016
2010-03-31,5.653860569000244,12.000924110412598,43.43412780761719,29.493330001831055,21.864347457885742,4.016769886016846,26.404388427734375,1.7249889373779297,6.132148742675781,2.943863868713379,4.052680969238281,1.0381691455841064,6.309076309204102,63.76621627807617,33.46134567260742,24.772201538085938,14.607128143310547,98.94384002685547,3.858449697494507,29.114469528198242,27.78516387939453,37.722328186035156,10.858072280883789,47.394737243652344
2010-04-30,6.044612884521484,11.303991317749023,40.481746673583984,27.698762893676758,21.745588302612305,3.9960920810699463,24.207897186279297,1.6468647718429565,5.952101230621338,2.8101589679718018,3.694671869277954,0.9402817487716675,6.02791166305542,63.987266540527344,33.76716995239258,23.945308685302734,15.646978378295898,98.42308807373047,3.744734764099121,27.252281188964844,28.067974090576172,37.81898880004883,10.687027931213379,43.20233917236328
2010-05-31,5.99775505065918,13.124879837036133,40.02313232421875,26.26088523864746,21.29070472717285,3.4241883754730225,22.172821044921875,1.5572819709777832,5.5443434715271,2.5296120643615723,3.5554144382476807,0.8489705920219421,5.947375774383545,64.50367736816406,33.47965621948242,22.836530685424805,15.007068634033203,91.82682800292969,3.3420166969299316,27.398788452148438,27.293148040771484,37.65618896484375,9.83814811706543,38.35325622558594
2010-06-30,5.9538254737854,13.592185020446777,40.2542839050293,25.486209869384766,22.304311752319336,3.4611623287200928,21.442428588867188,1.5113327503204346,5.5406975746154785,2.2526838779449463,3.3860058784484863,0.8538553714752197,6.166070938110352,67.18946075439453,33.35186767578125,22.879600524902344,15.210114479064941,86.27210235595703,3.5086147785186768,27.443115234375,28.821659088134766,37.65618896484375,9.160310745239258,40.535430908203125
2010-07-31,5.7693257331848145,14.647652626037598,43.81986618041992,27.27520751953125,22.155977249145508,4.1927409172058105,25.245267868041992,1.6315033435821533,5.7230753898620605,2.6334803104400635,4.0461015701293945,0.9925823211669922,6.646026134490967,70.03984069824219,32.90462112426758,21.987886428833008,14.711726188659668,78.40287017822266,4.001989364624023,24.694927215576172,27.533010482788086,38.047916412353516,11.276176452636719,47.39052200317383
2010-08-31,5.690252780914307,13.991004943847656,39.806732177734375,21.930511474609375,20.586116790771484,3.860485315322876,23.645587921142578,1.628255009651184,5.715781211853027,2.7039990425109863,3.847633123397827,0.865578830242157,6.89484167098999,68.6557846069336,33.60742950439453,23.205833435058594,13.604191780090332,79.84941864013672,3.7631969451904297,25.08277130126953,27.073341369628906,36.516639709472656,10.88341236114502,40.82197189331055
2010-09-30,5.791581630706787,14.740307807922363,40.77067184448242,24.421730041503906,22.870445251464844,4.018296241760254,24.98663330078125,1.693212628364563,5.959566593170166,2.744363784790039,4.172199249267578,0.9310346245765686,7.6308159828186035,80.49867248535156,33.44771194458008,24.510778427124023,14.185647010803223,77.65066528320312,3.79168438911438,27.0802001953125,28.511280059814453,39.39095687866211,10.566667556762695,41.28486251831055
2010-10-31,5.816180229187012,15.215670585632324,44.282161712646484,26.428071975708008,25.84946060180664,3.868885040283203,25.16863441467285,1.7765737771987915,6.234344005584717,2.947164297103882,4.205092906951904,0.9876978397369385,7.858680248260498,84.23929595947266,34.43803787231445,24.81526756286621,13.370380401611328,83.61042785644531,3.804212808609009,27.80325698852539,29.44240379333496,41.75655746459961,10.553994178771973,41.28486251831055
2010-11-30,5.453036308288574,13.906407356262207,41.55756378173828,27.776790618896484,28.43045425415039,3.0157523155212402,21.839954376220703,1.6073912382125854,5.968643665313721,2.575120687484741,3.7292115688323975,0.7835150957107544,7.6921892166137695,87.93244171142578,34.853336334228516,23.16277313232422,12.792000770568848,79.73368835449219,3.008422374725342,25.808603286743164,28.240192413330078,42.88085174560547,9.521402359008789,32.86477279663086
2010-12-31,5.80564022064209,14.313284873962402,43.736263275146484,32.33008575439453,29.518226623535156,3.2215757369995117,23.19297981262207,1.660674810409546,6.292104244232178,2.8799734115600586,3.9830522537231445,0.7932842373847961,7.423244476318359,92.82384490966797,34.98112869262695,23.902238845825195,14.12719440460205,79.27080535888672,3.2672290802001953,26.95553207397461,29.937435150146484,47.159271240234375,9.724120140075684,34.12117385864258
2011-01-31,5.792753219604492,16.96001625061035,49.89365768432617,33.99647903442383,27.777788162231445,3.8698155879974365,26.150474548339844,1.832736849784851,6.661773681640625,3.125629186630249,4.5636515617370605,0.949596643447876,7.311952114105225,85.82537841796875,32.61710739135742,22.85784912109375,14.007211685180664,83.08968353271484,3.797473669052124,27.63426971435547,33.17475891113281,49.25883483886719,10.725038528442383,39.87415313720703
2011-02-28,5.697865962982178,16.887502670288086,51.344482421875,35.06094741821289,29.79511260986328,3.8607523441314697,27.098791122436523,1.9173246622085571,6.8042521476745605,3.1570844650268555,4.981968402862549,0.9550676345825195,6.9502644538879395,85.97587585449219,33.60742950439453,23.824949264526367,14.557903289794922,81.06453704833984,3.7911088466644287,27.703523635864258,34.35340118408203,51.342201232910156,11.687949180603027,41.06444549560547
2011-03-31,5.545580863952637,16.549108505249023,48.703495025634766,34.665260314941406,30.17583465576172,3.694600820541382,24.718425750732422,1.9750488996505737,6.67332649230957,3.0637171268463135,4.896440029144287,0.8159496188163757,7.501410484313965,84.05693817138672,33.63938903808594,22.782758712768555,13.877999305725098,79.72787475585938,3.4758541584014893,27.41263771057129,33.944801330566406,50.87922286987305,10.439967155456543,38.44142150878906
