Date,FEZ Return,FEZ Equity,Strategy Return,Strategy Equity,Selected Tickers
2010-02-28,-0.02216858069887173,97.78314193011283,0.0,100.0,
2010-03-31,0.0638798225322812,104.0295116832573,0.0,100.0,
2010-04-30,-0.057583625244522985,98.03911526811788,0.0,100.0,
2010-05-31,-0.12111299833012146,86.16530406436374,0.0,100.0,
2010-06-30,-0.026597537758324963,83.87351913605427,0.0,100.0,
2010-07-31,0.1514557646231649,96.57664710844102,0.0,100.0,
2010-08-31,-0.07443161373605678,89.38829141494207,0.0,100.0,
2010-09-30,0.12902210537133496,100.92135696884432,0.0,100.0,
2010-10-31,0.06183666312284086,107.16199692162671,0.0,100.0,
2010-11-30,-0.12673182421011797,93.58116156574991,0.0,100.0,
2010-12-31,0.08968649025497277,101.97412750056559,0.0,100.0,
2011-01-31,0.08441922819343417,110.58270463986217,0.0,100.0,
2011-02-28,0.02528148213645265,113.37839931181546,0.0185385318488401,101.853853184884,"AIR.PA, ASML.AS, BAS.DE, ITX.MC, MC.PA, SAP.DE, SIE.DE"
2011-03-31,-0.00394464130009109,112.93116219535185,0.00250316685384446,102.10881037411275,"AIR.PA, ASML.AS, BAS.DE, ITX.MC, MC.PA, SAP.DE, SIE.DE"
2011-04-30,0.08155271409468567,122.14100497824995,0.0240992634424926,104.569557495118,"AIR.PA, ASML.AS, BAS.DE, INGA.AS, MC.PA, SAP.DE, SIE.DE"
2011-05-31,-0.0538271849241565,115.56649851646337,-0.0039207347841643874,104.15956799368222,"AIR.PA, ASML.AS, BAS.DE, INGA.AS, ITX.MC, MC.PA, SIE.DE"
2011-06-30,0.002443319799716903,115.8488644304726,0.01259546710511347,105.47150640602948,"ALV.DE, BAS.DE, ENEL.MI, INGA.AS, ITX.MC, MC.PA, SIE.DE"
2011-07-31,-0.07709350771203527,106.91766910707143,-0.0390046679778593,101.35762531753763,"AIR.PA, BAS.DE, ENEL.MI, IBE.MC, INGA.AS, ITX.MC, MC.PA"
2011-08-31,-0.12836926286289174,93.1927267367781,-0.12374006414072788,88.81562625959364,"AIR.PA, BAS.DE, ENEL.MI, ITX.MC, MC.PA, SAN.PA, SIE.DE"
2011-09-30,-0.12936993085481707,81.13639012266925,-0.04002106307062783,85.26113047940115,"AIR.PA, ASML.AS, BAS.DE, MC.PA, SAN.PA, SAP.DE, SIE.DE"
2011-10-31,0.14179629000436011,92.64122922641016,0.10064228711795857,93.84200565311077,"AIR.PA, ASML.AS, BAS.DE, MC.PA, ROG.SW, SAN.PA, SAP.DE"
2011-11-30,-0.03902137898703706,89.02624071094144,-0.0009338954460736998,93.75436703138091,"AIR.PA, ASML.AS, ITX.MC, NESN.SW, ROG.SW, SAN.PA, SAP.DE"
2011-12-31,-0.04165710272724632,85.31766545622519,0.048779674318965835,98.32767452115246,"AIR.PA, ASML.AS, ENI.MI, ITX.MC, ROG.SW, SAN.PA, SAP.DE"
2012-01-31,0.05997990596037006,90.43501100704789,0.041215143700941155,102.38026375632113,"AIR.PA, ASML.AS, ENI.MI, ITX.MC, ROG.SW, SAN.PA, SAP.DE"
2012-02-29,0.05274991449445188,95.20545010497449,0.031213043869591284,105.5758634203275,"AD.AS, AIR.PA, ASML.AS, ITX.MC, NESN.SW, ROG.SW, SAN.PA"
2012-03-31,-0.011711378238415504,94.09046306843653,0.04397995475383941,110.21908511665102,"AD.AS, AIR.PA, ITX.MC, MC.PA, ROG.SW, SAN.PA, SAP.DE"
2012-04-30,-0.06718048646417762,87.76941998785924,-0.019358107644619316,108.08545220247143,"AD.AS, AIR.PA, ITX.MC, MC.PA, ROG.SW, SAN.PA, SAP.DE"
2012-05-31,-0.12652802272059394,76.66412882146203,-0.039528094893739645,103.81304019117938,"AD.AS, AIR.PA, ASML.AS, ITX.MC, ROG.SW, SAN.PA, SAP.DE"
2012-06-30,0.10146668123232039,84.44298354254286,0.06622455287969664,110.68801236092223,"AIR.PA, ASML.AS, ITX.MC, MC.PA, NESN.SW, ROG.SW, SAP.DE"
2012-07-31,-0.007087147748040423,83.84452364189151,0.07168469698940304,118.62264898737422,"AD.AS, AIR.PA, ASML.AS, ITX.MC, NESN.SW, ROG.SW, SAP.DE"
2012-08-31,0.0735189113915069,90.00868174618284,0.008681627142287283,119.65248659651304,"AIR.PA, ASML.AS, ENI.MI, ITX.MC, NESN.SW, ROG.SW, SAN.PA"
2012-09-30,0.03583652884580446,93.23428046595275,-0.011503363264860865,118.27608057764945,"AIR.PA, ASML.AS, ENI.MI, ITX.MC, NOVN.SW, SAN.PA, SAP.DE"
2012-10-31,0.02868170482041177,95.9083985774207,0.032707481759466896,122.14459332572414,"AIR.PA, ASML.AS, BAS.DE, ITX.MC, PHIA.AS, SAN.PA, SAP.DE"
2012-11-30,0.034460893780170254,99.21348771342342,0.022615189988986373,124.90691650991286,"ASML.AS, BAS.DE, ITX.MC, PHIA.AS, ROG.SW, SAN.PA, SAP.DE"
2012-12-31,0.05515687397219349,104.68579355157448,0.011024741045152801,126.28398291918317,"ALV.DE, ASML.AS, BNP.PA, ITX.MC, PHIA.AS, SAN.PA, SAP.DE"
2013-01-31,0.036929809853401,108.55182000178651,0.054418872554234304,133.1562148913033,"ALV.DE, BAS.DE, BNP.PA, ITX.MC, PHIA.AS, SAP.DE, UBSG.SW"
2013-02-28,-0.06288226075005143,101.72583615154151,-0.023724723949012826,129.9971204509117,"ALV.DE, BAS.DE, BNP.PA, ITX.MC, PHIA.AS, SAN.PA, SAP.DE"
2013-03-31,-0.017033520313756934,99.99308705502033,0.021555383534168956,132.79925824056863,"AIR.PA, BNP.PA, ITX.MC, PHIA.AS, ROG.SW, SAN.PA, UBSG.SW"
2013-04-30,0.0680990749282353,106.80252378268571,0.020096549747612016,135.4680651402462,"AIR.PA, BBVA.MC, ITX.MC, NOVN.SW, PHIA.AS, ROG.SW, SAN.PA"
2013-05-31,0.014168043553759002,108.31570659129017,0.02483321084791724,138.8321721650333,"BBVA.MC, BNP.PA, ITX.MC, NOVN.SW, PHIA.AS, ROG.SW, SAN.PA"
2013-06-30,-0.05207383087589312,102.67529280505248,-0.07291603424365337,128.70908074532696,"ALV.DE, BBVA.MC, BNP.PA, ITX.MC, ROG.SW, UBSG.SW, UCG.MI"
2013-07-31,0.08874147830883028,111.78685007436484,0.09796108017407576,141.31756132335153,"AIR.PA, ALV.DE, BNP.PA, PHIA.AS, ROG.SW, UBSG.SW, UCG.MI"
2013-08-31,-0.022179313610727114,109.30749446901018,-0.015717492696589955,139.09640358535185,"AIR.PA, ALV.DE, BNP.PA, IBE.MC, ROG.SW, UBSG.SW, UCG.MI"
2013-09-30,0.09163399686274021,119.32377707425745,0.05333402841861751,146.51497512710048,"AIR.PA, ALV.DE, BNP.PA, IBE.MC, PHIA.AS, ROG.SW, UBSG.SW"
2013-10-31,0.06300395532936132,126.84164699477465,0.07689631729465425,157.78143714289237,"AIR.PA, BNP.PA, INGA.AS, PHIA.AS, ROG.SW, UBSG.SW, UCG.MI"
2013-11-30,0.008327730587978088,127.89795005828255,-0.007614998304212356,156.57993176661307,"AD.AS, AIR.PA, ASML.AS, BBVA.MC, ROG.SW, UBSG.SW, UCG.MI"
2013-12-31,0.029769257331933696,131.70537704579436,0.006926983954901942,157.66455844162004,"AD.AS, AIR.PA, ASML.AS, BBVA.MC, ISP.MI, ROG.SW, UCG.MI"
2014-01-31,-0.057820094670804956,124.09015967635249,-0.00806147871021634,156.39354896038725,"AD.AS, AIR.PA, ASML.AS, ISP.MI, PHIA.AS, ROG.SW, UCG.MI"
2014-02-28,0.0653925502833772,132.20473168266068,0.043620326075860874,163.21548656220048,"AIR.PA, ALV.DE, BBVA.MC, BNP.PA, INGA.AS, ROG.SW, SIE.DE"
2014-03-31,0.009432728413593328,133.4517830116152,0.041557494449222396,169.99831323903624,"AIR.PA, BNP.PA, ENEL.MI, IBE.MC, INGA.AS, ISP.MI, UCG.MI"
2014-04-30,0.02391005611993524,136.64262263272832,-0.009701984338146686,168.34899226647974,"BBVA.MC, BNP.PA, ENEL.MI, IBE.MC, INGA.AS, ISP.MI, UCG.MI"
2014-05-31,0.01327820805915203,138.45699180579388,0.018644185305068686,171.48772207421757,"BNP.PA, ENEL.MI, IBE.MC, INGA.AS, ISP.MI, SAN.MC, UCG.MI"
2014-06-30,-0.002036690707201916,138.17499773723588,-0.0014790813929176276,171.23407777538378,"BBVA.MC, ENEL.MI, IBE.MC, INGA.AS, ISP.MI, SAN.MC, UCG.MI"
2014-07-31,-0.05800800143265428,130.1597422705373,-0.009913708874517828,169.53651297892208,"BBVA.MC, ENEL.MI, IBE.MC, INGA.AS, ISP.MI, SAN.MC, UCG.MI"
